################################################################## 
# Generated by FullSWOF_2D version 1.07.01, 2016-06-01
################################################################## 
# Final Time
#(i-0.5)*dx	(j-0.5)*dy	h[i][j]	u[i][j]	v[i][j]	h[i][j]+z[i][j]	z[i][j]	velocity_norm[i][j]	Fr[i][j] (Froude)	qx[i][j]	qy[i][j]	q[i][j]
#
0.1905	   1.1811	0.0167299	  3.35903	0.00112445	  10.0114	  9.99467	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   1.2573	0.0167299	  3.35903	0.00112445	  10.0112	  9.99451	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   1.3335	0.0167299	  3.35903	0.00112445	  10.0111	  9.99436	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   1.4097	0.0167299	  3.35903	0.00112445	  10.0109	  9.99421	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   1.4859	0.0167299	  3.35903	0.00112445	  10.0108	  9.99406	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   1.5621	0.0167299	  3.35903	0.00112445	  10.0106	   9.9939	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   1.6383	0.0167299	  3.35903	0.00112445	  10.0105	  9.99375	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   1.7145	0.0167299	  3.35903	0.00112445	  10.0103	   9.9936	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   1.7907	0.0167299	  3.35903	0.00112445	  10.0102	  9.99345	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   1.8669	0.0167299	  3.35903	0.00112445	    10.01	  9.99329	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   1.9431	0.0167299	  3.35903	0.00112445	  10.0099	  9.99314	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   2.0193	0.0167299	  3.35903	0.00112445	  10.0097	  9.99299	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   2.0955	0.0167299	  3.35903	0.00112445	  10.0096	  9.99284	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   2.1717	0.0167299	  3.35903	0.00112445	  10.0094	  9.99268	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   2.2479	0.0167299	  3.35903	0.00112445	  10.0093	  9.99253	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   2.3241	0.0167299	  3.35903	0.00112445	  10.0091	  9.99238	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   2.4003	0.0167299	  3.35903	0.00112445	   10.009	  9.99223	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   2.4765	0.0167299	  3.35903	0.00112445	  10.0088	  9.99208	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   2.5527	0.0167299	  3.35903	0.00112445	  10.0087	  9.99192	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   2.6289	0.0167299	  3.35903	0.00112445	  10.0085	  9.99177	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   2.7051	0.0167299	  3.35903	0.00112445	  10.0083	  9.99162	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   2.7813	0.0167299	  3.35903	0.00112445	  10.0082	  9.99147	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   2.8575	0.0167299	  3.35903	0.00112445	   10.008	  9.99131	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   2.9337	0.0167299	  3.35903	0.00112445	  10.0079	  9.99116	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   3.0099	0.0167299	  3.35903	0.00112445	  10.0077	  9.99101	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
0.1905	   3.0861	0.0167299	  3.35903	0.00112445	  10.0076	  9.99086	  3.35903	   8.2915	0.00428214	1.43346e-06	0.0561961
